[INFO ] [2017-10-09 16:11:02] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: typeLoginAndSubmit, line: 49, msg: Entering credentials...
[INFO ] [2017-10-09 16:11:08] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: waitForWrongMessageElement, line: 70, msg: Tried to wait for sing in wrong message. Wrong sign in message wasn't detected
[INFO ] [2017-10-09 16:11:11] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: waitForWrongMessageElement, line: 70, msg: Tried to wait for sing in wrong message. Wrong sign in message wasn't detected
[INFO ] [2017-10-09 16:11:11] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: writeLetter, line: 57, msg: Compose button was clicked
[INFO ] [2017-10-09 16:11:14] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: writeLetter, line: 63, msg: Letter successfully was written
[INFO ] [2017-10-09 16:11:14] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: writeLetter, line: 67, msg: Letter was closed
[INFO ] [2017-10-09 16:11:14] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: getLettersFromSection, line: 117, msg: Navigate to: https://mail.google.com/mail/#drafts
[INFO ] [2017-10-09 16:11:16] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: isSavedInSection, line: 93, msg: Message successfully saved in Drafts (30)
[INFO ] [2017-10-09 16:11:17] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: sendLetterFromDraft, line: 110, msg: Message from draft successfully sent
[INFO ] [2017-10-09 16:11:17] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: getLettersFromSection, line: 117, msg: Navigate to: https://mail.google.com/mail/#sent
[INFO ] [2017-10-09 16:11:17] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: isSavedInSection, line: 93, msg: Message successfully saved in Sent Mail
[INFO ] [2017-10-09 16:11:17] file: TestNGListener.java, class: com.epam.lab.gmailframework.utils.testreporting.TestNGListener, method: onTestSuccess, line: 21, msg: Test method :testGmailFunctionality result was success
[INFO ] [2017-10-09 16:11:22] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: waitForWrongMessageElement, line: 70, msg: Tried to wait for sing in wrong message. Wrong sign in message wasn't detected
[INFO ] [2017-10-09 16:11:22] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: writeLetter, line: 57, msg: Compose button was clicked
[INFO ] [2017-10-09 16:11:25] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: writeLetter, line: 63, msg: Letter successfully was written
[INFO ] [2017-10-09 16:11:25] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: writeLetter, line: 67, msg: Letter was closed
[INFO ] [2017-10-09 16:11:25] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: getLettersFromSection, line: 117, msg: Navigate to: https://mail.google.com/mail/#drafts
[INFO ] [2017-10-09 16:11:26] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: isSavedInSection, line: 93, msg: Message successfully saved in Черновики (22)
[INFO ] [2017-10-09 16:11:27] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: sendLetterFromDraft, line: 110, msg: Message from draft successfully sent
[INFO ] [2017-10-09 16:11:27] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: getLettersFromSection, line: 117, msg: Navigate to: https://mail.google.com/mail/#sent
[INFO ] [2017-10-09 16:11:27] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: isSavedInSection, line: 93, msg: Message successfully saved in Отправленные
[INFO ] [2017-10-09 16:11:27] file: TestNGListener.java, class: com.epam.lab.gmailframework.utils.testreporting.TestNGListener, method: onTestSuccess, line: 21, msg: Test method :testGmailFunctionality result was success
[INFO ] [2017-10-09 16:11:43] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: waitForWrongMessageElement, line: 70, msg: Tried to wait for sing in wrong message. Wrong sign in message wasn't detected
[INFO ] [2017-10-09 16:11:43] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: writeLetter, line: 57, msg: Compose button was clicked
[INFO ] [2017-10-09 16:11:46] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: writeLetter, line: 63, msg: Letter successfully was written
[INFO ] [2017-10-09 16:11:46] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: writeLetter, line: 67, msg: Letter was closed
[INFO ] [2017-10-09 16:11:46] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: getLettersFromSection, line: 117, msg: Navigate to: https://mail.google.com/mail/#drafts
[INFO ] [2017-10-09 16:11:47] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: isSavedInSection, line: 93, msg: Message successfully saved in Drafts (30)
[INFO ] [2017-10-09 16:11:49] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: sendLetterFromDraft, line: 110, msg: Message from draft successfully sent
[INFO ] [2017-10-09 16:11:49] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: getLettersFromSection, line: 117, msg: Navigate to: https://mail.google.com/mail/#sent
[INFO ] [2017-10-09 16:11:49] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: isSavedInSection, line: 93, msg: Message successfully saved in Sent Mail
[INFO ] [2017-10-09 16:11:49] file: TestNGListener.java, class: com.epam.lab.gmailframework.utils.testreporting.TestNGListener, method: onTestSuccess, line: 21, msg: Test method :testGmailFunctionality result was success
[INFO ] [2017-10-09 16:11:51] file: TestNGListener.java, class: com.epam.lab.gmailframework.utils.testreporting.TestNGListener, method: onFinish, line: 56, msg: Passed tests: [ResultMap map={[TestResult name=testGmailFunctionality status=SUCCESS method=GmailTest.testGmailFunctionality(com.epam.lab.gmailframework.models.User)[pri:0, instance:com.epam.lab.gmailframework.GmailTest@6321e813] output=Test method has started running: testGmailFunctionality]=GmailTest.testGmailFunctionality(com.epam.lab.gmailframework.models.User)[pri:0, instance:com.epam.lab.gmailframework.GmailTest@6321e813], [TestResult name=testGmailFunctionality status=SUCCESS method=GmailTest.testGmailFunctionality(com.epam.lab.gmailframework.models.User)[pri:0, instance:com.epam.lab.gmailframework.GmailTest@6321e813] output=Test method has started running: testGmailFunctionality]=GmailTest.testGmailFunctionality(com.epam.lab.gmailframework.models.User)[pri:0, instance:com.epam.lab.gmailframework.GmailTest@6321e813], [TestResult name=testGmailFunctionality status=SUCCESS method=GmailTest.testGmailFunctionality(com.epam.lab.gmailframework.models.User)[pri:0, instance:com.epam.lab.gmailframework.GmailTest@6321e813] output=Test method has started running: testGmailFunctionality]=GmailTest.testGmailFunctionality(com.epam.lab.gmailframework.models.User)[pri:0, instance:com.epam.lab.gmailframework.GmailTest@6321e813], [TestResult name=testGmailFunctionality status=SUCCESS method=GmailTest.testGmailFunctionality(com.epam.lab.gmailframework.models.User)[pri:0, instance:com.epam.lab.gmailframework.GmailTest@6321e813] output=Test method has started running: testGmailFunctionality]=GmailTest.testGmailFunctionality(com.epam.lab.gmailframework.models.User)[pri:0, instance:com.epam.lab.gmailframework.GmailTest@6321e813]}]
